id,session_id,timestamp,hex_id,data
17696,23,1756868237371,0x200,0C B5 01 B0 00 00
17697,23,1756868237371,0x201,00 00 00 00
17698,23,1756868237371,0x202,00 00
17699,23,1756868237371,0x220,01
17700,23,1756868237371,0x3f2,00
17701,23,1756868237404,0x200,0C E6 01 BF 00 00
17702,23,1756868237404,0x201,00 00 00 00
17703,23,1756868237404,0x202,00 00
17704,23,1756868237404,0x220,01
17705,23,1756868237404,0x3f2,00
17706,23,1756868237436,0x200,0D 17 01 CE 00 00
17707,23,1756868237436,0x201,00 00 00 00
17708,23,1756868237436,0x202,00 00
17709,23,1756868237436,0x220,01
17710,23,1756868237436,0x3f2,00
17711,23,1756868237473,0x200,0D 46 01 DD 00 00
17712,23,1756868237473,0x201,00 00 00 00
17713,23,1756868237473,0x202,00 00
17714,23,1756868237473,0x220,01
17715,23,1756868237473,0x3f2,00
17716,23,1756868237506,0x200,0D 74 01 EB 00 00
17717,23,1756868237506,0x201,00 00 00 00
17718,23,1756868237506,0x202,00 00
17719,23,1756868237506,0x220,01
17720,23,1756868237506,0x3f2,00
17721,23,1756868237539,0x200,0D A2 01 FA 00 00
17722,23,1756868237539,0x201,00 00 00 00
17723,23,1756868237539,0x202,00 00
17724,23,1756868237539,0x220,01
17725,23,1756868237539,0x3f2,00
17726,23,1756868237573,0x200,0D CF 02 09 00 00
17727,23,1756868237573,0x201,00 00 00 00
17728,23,1756868237573,0x202,00 00
17729,23,1756868237573,0x220,01
17730,23,1756868237573,0x3f2,00
17731,23,1756868237607,0x200,0D FB 02 18 00 00
17732,23,1756868237607,0x201,00 00 00 00
17733,23,1756868237607,0x202,00 00
17734,23,1756868237607,0x220,01
17735,23,1756868237607,0x3f2,00
17736,23,1756868237641,0x200,0E 26 02 27 00 00
17737,23,1756868237641,0x201,00 00 00 00
17738,23,1756868237641,0x202,00 00
17739,23,1756868237641,0x220,01
17740,23,1756868237641,0x3f2,00
17741,23,1756868237675,0x200,0E 51 02 36 00 00
17742,23,1756868237675,0x201,00 00 00 00
17743,23,1756868237675,0x202,00 00
17744,23,1756868237675,0x220,01
17745,23,1756868237675,0x3f2,00
17746,23,1756868237709,0x200,0E 7A 02 45 00 00
17747,23,1756868237709,0x201,00 00 00 00
17748,23,1756868237709,0x202,00 00
17749,23,1756868237709,0x220,01
17750,23,1756868237709,0x3f2,00
17751,23,1756868237744,0x200,0E A4 02 53 00 00
17752,23,1756868237744,0x201,00 00 00 00
17753,23,1756868237744,0x202,00 00
17754,23,1756868237744,0x220,01
17755,23,1756868237744,0x3f2,00
17756,23,1756868237777,0x200,0E CC 02 62 00 00
17757,23,1756868237777,0x201,00 00 00 00
17758,23,1756868237777,0x202,00 00
17759,23,1756868237777,0x220,01
17760,23,1756868237777,0x3f2,00
17761,23,1756868237811,0x200,0E F4 02 71 00 00
17762,23,1756868237811,0x201,00 00 00 00
17763,23,1756868237811,0x202,00 00
17764,23,1756868237811,0x220,01
17765,23,1756868237811,0x3f2,00
17766,23,1756868237845,0x200,0F 1C 02 80 00 00
17767,23,1756868237845,0x201,00 00 00 00
17768,23,1756868237845,0x202,00 00
17769,23,1756868237845,0x220,01
17770,23,1756868237845,0x3f2,00
17771,23,1756868237879,0x200,0F 43 02 8F 00 00
17772,23,1756868237879,0x201,00 00 00 00
17773,23,1756868237879,0x202,00 00
17774,23,1756868237879,0x220,01
17775,23,1756868237879,0x3f2,00
17776,23,1756868237914,0x200,0F 69 02 9E 00 00
17777,23,1756868237914,0x201,00 00 00 00
17778,23,1756868237914,0x202,00 00
17779,23,1756868237914,0x220,01
17780,23,1756868237914,0x3f2,00
17781,23,1756868237947,0x200,0F 8F 02 AC 00 00
17782,23,1756868237947,0x201,00 00 00 00
17783,23,1756868237947,0x202,00 00
17784,23,1756868237947,0x220,01
17785,23,1756868237947,0x3f2,00
17786,23,1756868237981,0x200,0F B5 02 BB 00 00
17787,23,1756868237981,0x201,00 00 00 00
17788,23,1756868237981,0x202,00 00
17789,23,1756868237981,0x220,01
17790,23,1756868237981,0x3f2,00
17791,23,1756868238015,0x200,0F DA 02 CA 00 00
17792,23,1756868238015,0x201,00 00 00 00
17793,23,1756868238015,0x202,00 00
17794,23,1756868238015,0x220,01
17795,23,1756868238015,0x3f2,00
17796,23,1756868238047,0x200,0F FE 02 D9 00 00
17797,23,1756868238047,0x201,00 00 00 00
17798,23,1756868238047,0x202,00 00
17799,23,1756868238047,0x220,01
17800,23,1756868238047,0x3f2,00
17801,23,1756868238082,0x200,10 23 02 E8 00 00
17802,23,1756868238082,0x201,00 00 00 00
17803,23,1756868238082,0x202,00 00
17804,23,1756868238082,0x220,01
17805,23,1756868238082,0x3f2,00
17806,23,1756868238114,0x200,10 46 02 F6 00 00
17807,23,1756868238114,0x201,00 00 00 00
17808,23,1756868238114,0x202,00 00
17809,23,1756868238114,0x220,01
17810,23,1756868238114,0x3f2,00
17811,23,1756868238148,0x200,10 6A 03 05 00 00
17812,23,1756868238148,0x201,00 00 00 00
17813,23,1756868238148,0x202,00 00
17814,23,1756868238148,0x220,01
17815,23,1756868238148,0x3f2,00
17816,23,1756868238184,0x200,10 8D 03 14 00 00
17817,23,1756868238184,0x201,00 00 00 00
17818,23,1756868238184,0x202,00 00
17819,23,1756868238184,0x220,01
17820,23,1756868238184,0x3f2,00
17821,23,1756868238218,0x200,10 AF 03 23 00 00
17822,23,1756868238218,0x201,00 00 00 00
17823,23,1756868238218,0x202,00 00
17824,23,1756868238218,0x220,01
17825,23,1756868238218,0x3f2,00
17826,23,1756868238251,0x200,10 D2 03 32 00 00
17827,23,1756868238251,0x201,00 00 00 00
17828,23,1756868238251,0x202,00 00
17829,23,1756868238251,0x220,01
17830,23,1756868238251,0x3f2,00
17831,23,1756868238287,0x200,10 F4 03 40 00 00
17832,23,1756868238287,0x201,00 00 00 00
17833,23,1756868238287,0x202,00 00
17834,23,1756868238287,0x220,01
17835,23,1756868238287,0x3f2,00
17836,23,1756868238320,0x200,11 15 03 4F 00 00
17837,23,1756868238320,0x201,00 00 00 00
17838,23,1756868238320,0x202,00 00
17839,23,1756868238320,0x220,01
17840,23,1756868238320,0x3f2,00
17841,23,1756868238352,0x200,11 36 03 5E 00 00
17842,23,1756868238352,0x201,00 00 00 00
17843,23,1756868238352,0x202,00 00
17844,23,1756868238352,0x220,01
17845,23,1756868238352,0x3f2,00
17846,23,1756868238387,0x200,11 57 03 6D 00 00
17847,23,1756868238387,0x201,00 00 00 00
17848,23,1756868238387,0x202,00 00
17849,23,1756868238387,0x220,01
17850,23,1756868238387,0x3f2,00
17851,23,1756868238421,0x200,11 78 03 7C 00 00
17852,23,1756868238421,0x201,00 00 00 00
17853,23,1756868238421,0x202,00 00
17854,23,1756868238421,0x220,01
17855,23,1756868238421,0x3f2,00
17856,23,1756868238454,0x200,11 98 03 8A 00 00
17857,23,1756868238454,0x201,00 00 00 00
17858,23,1756868238454,0x202,00 00
17859,23,1756868238454,0x220,01
17860,23,1756868238454,0x3f2,00
17861,23,1756868238488,0x200,11 B8 03 99 00 00
17862,23,1756868238488,0x201,00 00 00 00
17863,23,1756868238488,0x202,00 00
17864,23,1756868238488,0x220,01
17865,23,1756868238488,0x3f2,00
17866,23,1756868238521,0x200,11 D8 03 A8 00 00
17867,23,1756868238521,0x201,00 00 00 00
17868,23,1756868238521,0x202,00 00
17869,23,1756868238521,0x220,01
17870,23,1756868238521,0x3f2,00
17871,23,1756868238555,0x200,11 F8 03 B7 00 00
17872,23,1756868238555,0x201,00 00 00 00
17873,23,1756868238555,0x202,00 00
17874,23,1756868238555,0x220,01
17875,23,1756868238555,0x3f2,00
17876,23,1756868238589,0x200,12 17 03 C5 00 00
17877,23,1756868238589,0x201,00 00 00 00
17878,23,1756868238589,0x202,00 00
17879,23,1756868238589,0x220,01
17880,23,1756868238589,0x3f2,00
17881,23,1756868238623,0x200,12 36 03 D4 00 00
